course_code,course_name,department,teacher,credits,enrollment,class_capacity,teaching_class,campus,course_type,schedule_text,has_virtual_schedule,is_weekend_course,time_bucket
NAOE4316,海洋平台设计,船舶海洋与建筑工程学院,高震,2.0,24,24.0,(2025-2026-1)-NAOE4316-01,闵行,限选,星期四第6-8节{1-11周},False,False,afternoon
CIM8003,文化政策分析(研）,研究生院,王婧,2.0,0,3.0,CIM8003-200-M01,闵行,nan,星期四第6-8节{1-11周},False,False,afternoon
LAW6525,法律文书训练（研）,研究生院,张晓梅,2.0,0,10.0,LAW6525-19000-X01,徐汇,nan,星期四第6-8节{2-12周},False,False,afternoon
LAW6914,中国知识产权法(研）,研究生院,王杰,2.0,0,10.0,LAW6914-19000-X01,徐汇,nan,星期四第6-8节{2-12周},False,False,afternoon
AU7010,IT项目管理(研）,研究生院,蔡云泽,2.0,0,10.0,AU7010-032-M01,闵行,nan,星期四第6-8节{2-12周},False,False,afternoon
ENVR7009,高等环境毒理学(研）,研究生院,袁涛;申哲民,2.0,0,10.0,ENVR7009-160-M01,闵行,nan,星期四第6-8节{2-12周},False,False,afternoon
AST4752,天体物理中的辐射机制,物理与天文学院,谭先瑜,3.0,2,1.0,(2025-2026-1)-AST4752-01,闵行,限选,星期四第6-8节{1-16周},False,False,afternoon
HORT2503,植物学实验,农业与生物学院,姚陆铭,1.0,11,29.0,(2025-2026-1)-HORT2503-01,闵行,必修,星期四第6-8节{5-15周},False,False,afternoon
CS3314,密码学与信息安全基础,计算机学院,孙士锋,3.0,46,60.0,(2025-2026-1)-CS3314-01,徐汇,必修,星期四第6-8节{1-16周},False,False,afternoon
MGTS3401,数据结构,安泰经济与管理学院,王凯,3.0,35,35.0,(2025-2026-1)-MGTS3401-03,徐汇,"必修,限选",星期四第6-8节{1-16周},False,False,afternoon
IAGR3501,农业遥感与监测综合实验,农业与生物学院,申广荣,1.5,8,10.0,(2025-2026-1)-IAGR3501-01,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
MS3902,海洋统计分析,海洋学院,周韫韬,3.0,25,30.0,(2025-2026-1)-MS3902-01,闵行,"交叉课程,限选",星期四第6-8节{1-16周},False,False,afternoon
CIM4520,艺术理论与实践,媒体与传播学院,林立敏,3.0,15,17.0,(2025-2026-1)-CIM4520-01,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
AE4512,燃烧学,航空航天学院,张博,3.0,11,25.0,(2025-2026-1)-AE4512-01,闵行,限选,星期四第6-8节{1-16周},False,False,afternoon
AI3701,机器学习与知识发现,自动化与感知学院,潘小勇,3.0,50,50.0,(2025-2026-1)-AI3701-01,闵行,限选,星期四第6-8节{1-16周},False,False,afternoon
AST3751,射电天体物理,物理与天文学院,徐海光,3.0,7,9.0,(2025-2026-1)-AST3751-01,闵行,限选,星期四第6-8节{1-16周},False,False,afternoon
ASTR6006H,天体物理中的辐射机制(研）,研究生院,Gwenael Thibaud Giacinti;谭先瑜,4.0,2,10.0,ASTR6006H-072-M01,闵行,nan,星期四第6-8节{1-16周},False,False,afternoon
MARX1219,习近平新时代中国特色社会主义思想概论,马克思主义学院,钟晨宁,3.0,80,90.0,(2025-2026-1)-MARX1219-07,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
